username,handle,postDate,responding,retweets,likes
𝐛𝐚𝐧𝐠,@ach_ripang,2023-09-08T14:15:35.000Z,"Replying to 
@HusinShihab",,
Ikrar Opu,@Ikrar_opu,2023-09-08T14:15:08.000Z,"Iftitah Sulaiman: Tidak pernah memaksakan AHY, tapi Anies yg meminta sejak awal.

PD Bongkar Fakta",,
Harian Kompas,@hariankompas,2023-09-08T14:15:00.000Z,"Bakal calon presiden dari Koalisi Perubahan untuk Persatuan, Anies Rasyid Baswedan, meyakini Partai Keadilan Sejahtera bakal tetap di koalisi. #VideoBerita #AdadiKompas",1,1
"Ardhi Gatra Anggoro, S.E., Ak.",@Ardhi_Gatra,2023-09-08T14:14:52.000Z,"Terungkap politikus Nasdem sebut Anies Baswedan pengkhianat. Simak selengkapnya -> https://youtu.be/aV0YFRu3sVQ?si=NxMTKS2yOGvaWhXv…

PD Bongkar Fakta",,
aldo prayoga,@aldoprrayoga,2023-09-08T14:14:34.000Z,"Replying to 
@aldoprrayoga",1,2
Anies untuk IBHRS,@wenas_s,2023-09-08T14:14:34.000Z,"Replying to 
@Gambiro7
 @sena_soetta
 and 
@musniumar",,
aldo prayoga,@aldoprrayoga,2023-09-08T14:14:33.000Z,"Replying to 
@aldoprrayoga",1,2
Ikrar Opu,@Ikrar_opu,2023-09-08T14:14:30.000Z,"“Jangan2 bagi pak Anies yang penting nyapres” - MI. Sulaiman.

PD Bongkar Fakta",,
Anies,@ANIES_90,2023-09-08T14:14:28.000Z,"Replying to 
@kimgyuminn",,
Repelita Online,@RepelitaO,2023-09-08T14:13:55.000Z,"Sebut Belum Rezeki usai Gagal jadi Cawapres Anies, Sahroni ke AHY: Insyaallah 2029 jadi yang Terbaik",,
An1s Kastara,@Kastara48,2023-09-08T14:13:52.000Z,"Replying to 
@ahmadfaisal86
 and 
@YanHarahap",,
vayat,@HFaang,2023-09-08T14:13:48.000Z,"Replying to 
@WAHYU_UNIFORM
 and 
@AgusYudhoyono",,
Ikrar Opu,@Ikrar_opu,2023-09-08T14:13:47.000Z,"Eks Tim 8: Jangan-jangan bagi pak Anies yang penting nyapres.

PD Bongkar Fakta",,
Jimmy Himawan,@JimmyHimawan79,2023-09-08T14:13:28.000Z,"Terungkap dalam dua surat rahasia, Anies meminta AHY jadi cawapres. Simak selengkapnya -> https://youtu.be/aV0YFRu3sVQ?si=NxMTKS2yOGvaWhXv…

PD Bongkar Fakta",,
"Ardhi Gatra Anggoro, S.E., Ak.",@Ardhi_Gatra,2023-09-08T14:13:27.000Z,"Terungkap dalam dua surat rahasia, Anies meminta AHY jadi cawapres. Simak selengkapnya -> https://youtu.be/aV0YFRu3sVQ?si=NxMTKS2yOGvaWhXv…

PD Bongkar Fakta",,
Anies untuk IBHRS,@wenas_s,2023-09-08T14:13:24.000Z,"Replying to 
@musniumar",,
solitaire mawar,@SolitaireMawar,2023-09-08T14:13:20.000Z,"Replying to 
@ajengcute16__",,
alditio hermawan,@AlditioHermawan,2023-09-08T14:13:20.000Z,"Replying to 
@AlditioHermawan",1,1
alditio hermawan,@AlditioHermawan,2023-09-08T14:13:18.000Z,"Replying to 
@AlditioHermawan",1,1
Repelita Online,@RepelitaO,2023-09-08T14:13:10.000Z,Peter F Gontha Bongkar Alasan Surya Paloh Pilih Cak Imin jadi pendamping Anies,,
Aini (orangtua&suami&anak) #GaFollowPorno,@AKUNBAR64087273,2023-09-08T14:13:08.000Z,"Replying to 
@Yom_N_Friends
 and 
@KusumaW57427580",,
lin,@shewasbornIucky,2023-09-08T14:13:04.000Z,Anies vibesnya y2k listen to newjeans,,
Ikrar Opu,@Ikrar_opu,2023-09-08T14:12:58.000Z,"Anies Baswedan tidak konsisten dengan janji dan ucapannya.

PD Bongkar Fakta",,
Andi Manik,@Andi_Manik,2023-09-08T14:12:56.000Z,"Replying to 
@RomziTrilaksana
 and 
@ruhutsitompul",,
za,@za10895528,2023-09-08T14:12:43.000Z,"Replying to 
@jansen_jsp
 and 
@aniesbaswedan",,
Ozzie,@akuozzie,2023-09-08T14:12:43.000Z,"Replying to 
@Dennysiregar7
 @cakimiNOW
 and 
@KPK_RI",,
lilelundo,@BirriMuhammadi,2023-09-08T14:12:42.000Z,"Replying to 
@savicali",,
Romitsu Top,@RomitsuT,2023-09-08T14:12:37.000Z,"TIDAK ada manusia yg sempurna termasuk Anies. Ada yg tak baik padanya maka perlu diperbaiki, yg bengkok perlu diluruskan 
Dalam hal politik kalau sudah berbicara soal demi kepentingan bangsa, negara dan rakyat maka ego, gengsi, benci, marah, dendam itu perlu kita singkirkan.",1,8
Wahyudi,@WahyudiL4,2023-09-08T14:12:36.000Z,"Replying to 
@oetomo_ian
 and 
@yusuf_dumdum",,
Ikrar Opu,@Ikrar_opu,2023-09-08T14:12:29.000Z,"Eks Tim 8: Anies tak pernah kontak AHY sebelum deklarasi Cak Imin.

PD Bongkar Fakta",,
DONQI CHOTE,@HRI0668JKT,2023-09-08T14:12:18.000Z,"Replying to 
@ajengcute16__",,
Ikrar Opu,@Ikrar_opu,2023-09-08T14:12:06.000Z,"Iftitah: Tak pernah memaksakan AHY, tapi Anies yang meminta sejak awal.

PD Bongkar Fakta",,
siJalu,@changamar3,2023-09-08T14:11:56.000Z,"Replying to 
@AgusYudhoyono",,
andreas_degei,@andreasfd32,2023-09-08T14:11:22.000Z,Pak Anies dan Gus Imin adalah Generasi kampus dan aktivis kampus. Sudah saatnya tahun politik adu gagasan dan isi otak. Bukan adu pencitraan. Sudah saatnya generasi kampus maju menjadi pemimpin.,,
Wakni Syaiful,@syaiful_wakni,2023-09-08T14:11:21.000Z,"Replying to 
@DrEvaChaniago",,
KADRUN hunter,@triliuner007,2023-09-08T14:11:16.000Z,"Replying to 
@Tan_Mar3M",,
MenSR,@Omm3naja,2023-09-08T14:10:16.000Z,"Replying to 
@ajengcute16__",,
Dpc demokrat muara enim,@dpcpdmuaraenim,2023-09-08T14:10:04.000Z,"MI. Sulaiman, eks tim 8: Jangan-jangan bagi pak Anies yang penting nyapres.

PD Bongkar Fakta",,
