username,handle,postDate,responding,retweets,likes
nik #GraciasAguero,@shinsunik,2023-09-29T01:42:46.000Z,DONEEEE. Dah la present orang pertama pukul 9 tapi kul 9 baru siap tableau ,,
CNN Indonesia Daily,@CNNIDdaily,2023-09-29T01:42:18.000Z,"Replying to 
@ppurpleino",,
djpl_disnavkupang,@disnav_kupang,2023-09-29T01:36:06.000Z,"Berikut disampaikan Prakiraan Cuaca Wilayah Pelayaran dan Peringatan Dini Gelombang di Perairan Nusa Tenggara Timur wilayah kerja Distrik Navigasi Tipe A Kelas II Kupang
----

Berlaku Mulai 29 September 2023 pukul 08.00 WITA s/d pukul 20.00 WITA

*Sumber - BMKG Tenau *",,1.0
ran !,@luvleyrAnn,2023-09-29T01:36:03.000Z,"Replying to 
@luvleyrAnn",,
HVKIM,@akimnordin2799,2023-09-29T01:35:56.000Z,Bos kau suruh ambik dekat klia..beria kejut pukul 4:30 pagi call suruh gerak awal..lagi sekali ws pukul 3:00 baru sampai..memang bersidai lah ni..,,
Polsek Konang,@Polsekkonang07,2023-09-29T01:35:46.000Z,"Pada hari jum'at tanggal 29 September 2023 pukul 09.00 WIB, bertempat di  Desa bandung kec. konang, Ka SPKT 2 Polsek Konang BRIPKA YUNAN melaksanakan giat ""JUM'AT CURHAT"" dan menampung segala keluhan masyarakat khususnya terkait kamtibmas di wil. Kec. Konang kab. Bangkalan.",,
Kendariinfo,@Kendarinformasi,2023-09-29T01:22:30.000Z,"Sebuah minibus mengalami kecelakaan tunggal hingga terbalik di Jalan Chairil Anwar, Kelurahan Wuawua, Kecamatan Wuawua, Kota Kendari, Jumat (29/9/2023) sekira pukul 01.30 Wita.",,
Teolaegi's noona,@Nafiqah07,2023-09-29T01:21:46.000Z,"Replying to 
@lilililis_k",,
n4dd¥,@NadyraaJafri,2023-09-29T01:20:49.000Z,"Hahaha aku tak tenang hidup kalau lepas dapat gaji tak bayar semua commitment terus. Memang terusss bayar. Kalau masuk office pukul 10, pukul 10 tu la aku start bayar semua. Tak merasa la nak kaya sehari ",,
أميرأ,@whoismiramen,2023-09-29T01:19:40.000Z,"Replying to 
@mzhzmajid
 and 
@HannZiq",,
Kakak Resume,@KakakResume,2023-09-29T01:19:22.000Z,"And also, setiap orang ada lifestyle yang dia nak. Dia workhard, dia nak playhard. Ada orang workhard tapi sayang nak guna the money. 

So actually semua orang kena terima cara orang yang berbeza beza. Jangan pukul rata semua orang ada prinsip dan mindset yang sama. 

I pon ada… Show more",1.0,
Azhim Zahif SE,@AzhimSe,2023-09-29T01:17:37.000Z,Besok 30 Sep adalah hari Gestapu. Pasang bendera setengah tiang dari pukul 6 sd 18 saja.,1.0,1.0
Andre,@__Andreez,2023-09-29T01:16:32.000Z,"Replying to 
@Heraloebss",,
Unit Gawat Djodoh,@Marimar_Aauw,2023-09-29T01:15:19.000Z,"Bagi dokter yang memerlukan, 1 lagi kegiatan ilmiah dari @JDN_Indonesia_ 
@PBIDI
 . Kali ini soal Big Data.

29 September 2023 ini pukul 19.00 WIB ya.",,3.0
wearemania,@we_aremania,2023-09-29T01:14:50.000Z,"Replying to 
@we_aremania",,
jenat bagian sibuk,@yujinpizza,2023-09-29T01:13:59.000Z,"Replying to 
@ballberina",,
Qila,@AqilahhhSalleh,2023-09-29T01:12:14.000Z,Mengantuk baru pukul 9 weh ,,
,@skieeenahs,2023-09-29T01:11:58.000Z,"Menggunakan waktu solat sebagai pengukur masa. Contohnya, lepas zohor kita pergi ke shopping mall (tanpa spesifikkan waktu pukul berapa)",2.0,1.0
val,@suikaryui,2023-09-29T01:10:53.000Z,"Replying to 
@seenaaccs",,
sps28xxx,@UncleSamxx,2023-09-29T01:10:45.000Z,"Replying to 
@vvotanet",,
G | ʟᴀʏᴏꪜᴇʀ³ᴰ,@todorokiiwifuu,2023-09-29T01:10:40.000Z,Pukul 12 nanti lah penentuan army hidup lagi ke tidak,1.0,1.0
Ipan,@xirfnx,2023-09-29T01:10:35.000Z,Aku tertanya tanya la. Kenapa ada bank open 9:30 pagi eh? Tutup pukul 4 pulak tu. Ada reason apa apa ke?,,1.0
