username,handle,postDate,responding,retweets,likes
Ekolem P.R Sibarani,@ekolem_1,2023-09-17T12:46:26.000Z,"Replying to 
@voiceofpkb
 @aniesbaswedan
 and 
@cakimiNOW",,
Ach_Faizal,@Ach_Faizal,2023-09-17T12:46:05.000Z,"Replying to 
@MardaniAliSera
 and 
@jokowi",,2.0
anne,@peachestuv,2023-09-17T12:44:47.000Z,"Replying to 
@ganjarpranowo",,
Imammasudilatif,@Imamwaykanan,2023-09-17T12:27:16.000Z,"Replying to 
@voiceofpkb
 @cakimiNOW
 and 
@aniesbaswedan",,
SUPIR TEMBAK,@petugaspar66841,2023-09-17T12:25:44.000Z,"Replying to 
@Gus_Raharjo
 and 
@ganjarpranowo",,
"Muhammad Fauzi, SMB",@FauziSmb,2023-09-17T12:20:30.000Z,"Replying to 
@voiceofpkb
 @cakimiNOW
 and 
@aniesbaswedan",,
rudi aswad,@rudiaswad78,2023-09-17T12:11:50.000Z,"Replying to 
@voiceofpkb
 @aniesbaswedan
 and 
@cakimiNOW",,
jakamakmur,@ahmadpaizalzaki,2023-09-17T12:10:42.000Z,"Replying to 
@voiceofpkb
 @aniesbaswedan
 and 
@cakimiNOW",,
Manason Nubatonis,@ManasonNubaton3,2023-09-17T12:10:36.000Z,"Replying to 
@voiceofpkb
 @cakimiNOW
 and 
@aniesbaswedan",1.0,1.0
Nusran Wawonii Timur,@Aljihad2024,2023-09-17T12:09:50.000Z,"Replying to 
@voiceofpkb
 @aniesbaswedan
 and 
@cakimiNOW",,
Faqih Syahrir,@FaqihSyahrir,2023-09-17T11:57:33.000Z,"Hati-hati grombolan penginjak kedaulatan bangsa berkomplot bersama perusak tatanan negara dgn mengatur kontestasi pemilu.
Sadarlah pak 
@jokowi
, kemali ke jalan yg benar!",,
Roni Setiawan,@RoniSetiawl,2023-09-17T11:36:31.000Z,"Replying to 
@fachmiza
 and 
@ganjarpranowo",,
yupi,@youwpy,2023-09-17T10:12:26.000Z,"Replying to 
@obshxx
 and 
@ganjarpranowo",,
FRODO,@nyipovk,2023-09-17T09:56:46.000Z,"Bacapres 
@ganjarpranowo
   mengeluarkan video bertajuk ManifestoGanjar #1 yang diunggah di akun YouTube-nya. Ganjar Pranowo mengajak semua pihak yang berkontestasi di Pemilu 2024 utk adu gagasan bukan perseteruan.
@DyahKartikaRini
Pijar Emang Beda 
-----

BEM UGM Kak Ros",4.0,5.0
Selly,@Sellyna201,2023-09-17T09:47:12.000Z,"Replying to 
@ganjarpranowo",,
jhoni beep NFTX,@langityang7,2023-09-17T09:46:51.000Z,"PIJAR Emang Beda 

Pemilu ini bukan tentang saya 
@ganjarpranowo
 tapi tentang masa depan 278 juta rakyat Indonesia  
Generasi muda harus menyiapkan diri menyongsong masa depan
 tujuan pendiri bangsa adalah masyarakat adil & makmur sejahtera
Mari bersatu bangun bangsa",13.0,14.0
Dunia Twit,@donizig,2023-09-17T09:46:26.000Z,"Replying to 
@aniesbaswedan
 @PKSejahtera
 and 3 others",,
Belal,@_belalele,2023-09-17T09:46:22.000Z,"Replying to 
@ganjarpranowo",,
ONE OK ROCK™,@Jiwatitipan,2023-09-17T09:41:07.000Z,"@ganjarpranowo
 menegaskan! 
Demokrasi diwujudkan melalui kontestasi di pemilu. Oleh karena itu, setiap upaya berdemokrasi itu harus dilakukan untuk melihat apa sejatinya cita-cita yang dirumuskan pendiri bangsa dalam bernegara. 
Mari bersatu bukan berseteru

Pijar Emang Beda",5.0,8.0
vi,@monstarsy,2023-09-17T09:39:42.000Z,"Replying to 
@ganjarpranowo",,
yupi,@youwpy,2023-09-17T09:29:30.000Z,"Replying to 
@ganjarpranowo",,
Iyoz viRGo Al-Maspoel,@yoes_ansyah87,2023-09-17T09:26:33.000Z,"Replying to 
@RicKY_KCh",,
Oliver,@oliv3r_tom,2023-09-17T09:25:01.000Z,"Replying to 
@ganjarpranowo",,
romli,@rpanggahza,2023-09-17T09:22:54.000Z,"Replying to 
@Brigade01Arwan1
 @aniesbaswedan
 and 
@cakimiNOW",,
vi,@pxriceless,2023-09-17T09:10:53.000Z,"Replying to 
@ganjarpranowo",,
Ainun Najib,@ainunnajib,2023-09-17T09:09:01.000Z,"Replying to 
@ubaidzone
 and 
@jokowi",,
Tamara Givarani,@TGivarani,2023-09-17T09:07:20.000Z,"Replying to 
@don_muzakir_",,
Agenda,@akukamudancuaca,2023-09-17T08:41:31.000Z,"Replying to 
@Gus_Raharjo
 and 
@ganjarpranowo",,
Anieta,@AnitaRwi,2023-09-17T08:32:46.000Z,"Replying to 
@DMarginale
 @AK__aja
 and 
@jokowi",,
Marina Sari,@MarinaSariw,2023-09-17T08:21:04.000Z,"Replying to 
@ganjarpranowo",,
Shifan Arisna,@ArisnaShifan,2023-09-17T08:06:12.000Z,"Replying to 
@ganjarpranowo",,
Semprul,@Semprul8953637,2023-09-17T08:04:36.000Z,"Replying to 
@Ndaxwz
 @alextham878
 and 7 others",,
Edi_ewd,@ewdewdcwe,2023-09-17T08:01:46.000Z,"Replying to 
@ganjarpranowo",,
aaron zarate,@fallen64285,2023-09-17T08:00:44.000Z,"Replying to 
@ganjarpranowo",,
Verry_cow,@vrevrewe,2023-09-17T07:57:10.000Z,"Replying to 
@ganjarpranowo",,
